image_id,width,height,bbox,source
000000000110,640,480,"[184.03008, 79.35, 19.21024, 18.22992]",4
000000000110,640,480,"[163.16, 77.92031999999999, 18.70016, 23.37984]",4
000000000110,640,480,"[209.78016, 80.59008, 19.98016, 15.740160000000001]",4
000000000110,640,480,"[228.12032000000002, 75.91008, 16.52992, 23.37984]",4
000000000113,416,640,"[70.26988800000001, 458.24960000000004, 51.599807999999996, 61.13024]",4
000000000113,416,640,"[347.220016, 159.86016, 21.679840000000002, 18.76032]",4
000000000113,416,640,"[282.560096, 95.34976, 25.509952000000002, 26.76992]",4
000000000113,416,640,"[346.500128, 67.92992000000001, 23.439936, 22.04992]",4
000000000113,416,640,"[343.42984, 98.09024, 24.100127999999998, 24.999679999999998]",4
000000000113,416,640,"[379.90992, 96.72000000000001, 17.640064, 23.29984]",4
000000000113,416,640,"[195.729872, 140.39968, 20.059936, 21.640320000000003]",4
000000000113,416,640,"[176.159984, 137.13984, 23.570144, 24.81024]",4
000000000113,416,640,"[174.85, 106.92, 19.609824, 25.63008]",4
000000000113,416,640,"[140.57014400000003, 138.28, 18.759936, 22.27008]",4
000000000127,640,481,"[381.97024, 221.20997600000004, 185.2, 124.75023599999999]",4
000000000164,640,480,"[146.60992, 233.85, 26.78016, 20.799840000000003]",4
000000000164,640,480,"[114.55967999999999, 236.80968000000001, 23.23008, 19.52016]",4
000000000164,640,480,"[176.77024, 232.65984, 20.140159999999998, 16.129920000000002]",4
000000000164,640,480,"[196.65024, 228.88008, 19.98976, 15.510240000000001]",4
000000000164,640,480,"[159.47008, 231.63984000000002, 21.72032, 21.24]",4
000000000164,640,480,"[512.8297600000001, 134.17968000000002, 15.40032, 21.38016]",4
000000000164,640,480,"[532.6304, 139.84968, 15.189760000000001, 13.71024]",4
000000000164,640,480,"[506.11039999999997, 146.68008, 6.25984, 8.19984]",4
000000000164,640,480,"[169.77024000000003, 203.21976, 17.749760000000002, 18.85008]",4
000000000164,640,480,"[133.76960000000003, 233.32992000000002, 15.32032, 20.20992]",4
000000000241,480,640,"[103.72008000000001, 595.28992, 50.72016, 44.70976]",4
000000000241,480,640,"[0.07967999999999975, 596.4902400000001, 43.34016, 43.509759999999915]",4
000000000332,640,480,"[88.44991999999998, 0, 173.66016, 71.94]",4
000000000332,640,480,"[587.38016, 0.0, 52.619839999999954, 149.4]",4
000000000332,640,480,"[393.61024000000003, 0.04031999999999769, 120.54016000000001, 52.70976]",4
000000000397,640,480,"[0.0, 294.56976000000003, 36.75008, 71.88]",4
000000000397,640,480,"[479.99968, 315.42984, 150.86016, 158.33999999999997]",4
000000000450,640,480,"[562.0198399999999, 0, 77.98016, 192.97008]",4
000000000562,423,640,"[63.00013949999999, 77.44959999999998, 309.259953, 526.8902400000001]",4
000000000605,640,480,"[290.80992000000003, 123.77976, 224.86975999999999, 175.14000000000001]",4
000000000605,640,480,"[409.89024000000006, 30.19991999999999, 142.38016, 142.38000000000002]",4
000000000675,640,480,"[245.34016, 209.84016, 69.64992, 98.49984]",4
000000000675,640,480,"[147.73984000000002, 231.27983999999998, 56.879999999999995, 73.36992]",4
000000000715,640,480,"[354.37983999999994, 121.03008000000003, 40.84032, 42.26016]",4
000000000715,640,480,"[326.13984, 112.78992, 40.76992, 36.93984]",4
000000000715,640,480,"[470.34976, 114.88991999999999, 43.93024, 43.199999999999996]",4
000000000715,640,480,"[511.91008000000005, 110.30015999999998, 43.770239999999994, 36.36]",4
000000000715,640,480,"[282.12, 88.59, 27.930239999999998, 33.32976]",4
000000000715,640,480,"[192.64, 77.32008, 23.87968, 13.16016]",4
000000000715,640,480,"[435.09024, 106.54991999999999, 41.2, 33.45984]",4
000000000715,640,480,"[397.82016, 109.39992, 41.37984, 29.86992]",4
000000000715,640,480,"[311.85024000000004, 78.82007999999999, 32.20992, 42.18]",4
000000000715,640,480,"[187.69952, 90.85008, 31.08032, 29.97984]",4
000000000715,640,480,"[341.21984, 76.64016, 13.74976, 24.74976]",4
000000000715,640,480,"[258.88032, 98.32992, 29.029759999999996, 38.78976]",4
000000000716,640,480,"[420.37984, 180.52992, 8.499839999999999, 12.529919999999999]",4
000000000790,640,422,"[338.55008, 229.78005500000003, 22.41984, 47.780106]",4
000000000790,640,422,"[202.25983999999997, 251.910157, 27.34976, 56.599906]",4
000000000790,640,422,"[319.19968, 200.609938, 20.67008, 40.679956]",4
000000000790,640,422,"[211.47008, 237.97972600000003, 24.430079999999997, 48.870132000000005]",4
000000000909,327,500,"[71.8600485, 311.58, 63.389931, 94.64999999999999]",4
000000000939,640,480,"[492.22976, 291.66024000000004, 24.860159999999997, 25.11984]",4
000000000939,640,480,"[501.79008, 284.34000000000003, 18.51008, 8.73024]",4
000000000987,640,480,"[592.3097600000001, 83.90016, 47.6902399999999, 51.50016]",4
000000000987,640,480,"[90.34976, 76.68024, 42.110079999999996, 51.92976]",4
000000000987,640,480,"[39.89984, 88.51992, 48.62016, 61.09008]",4
000000001089,640,573,"[283.43967999999995, 488.7400635, 85.79008, 84.25993649999998]",4
000000001145,640,480,"[326.76, 278.37, 29.420160000000003, 37.86]",4
000000001145,640,480,"[267.73024, 312.44016, 38.309760000000004, 65.88000000000001]",4
000000001145,640,480,"[265.08, 293.25000000000006, 35.66016, 55.14]",4
000000001290,640,540,"[157.07039999999998, 450.59976, 133.61984, 88.59996]",4
000000001292,640,427,"[207.26016, 44.13984400000001, 222.62016, 256.2]",3
000000001292,640,427,"[66.73983999999999, 228.430055, 32.04992, 32.890102]",4
000000001319,518,600,"[81.519732, 284.0001, 66.91006, 93.5502]",4
000000001347,500,375,"[205.31, 236.7399375, 38.49, 27.049875]",4
000000001355,640,480,"[415.64992, 175.05984, 15.34976, 17.01024]",4
000000001360,612,612,"[354.739986, 214.630236, 35.929908, 30.830112]",4
000000001386,640,480,"[373.82016, 192.46991999999997, 55.63008, 58.41984]",4
000000001386,640,480,"[457.35008, 1.0797600000000074, 181.21024, 226.52015999999998]",4
000000001507,612,612,"[199.85961599999996, 2.0703959999999952, 148.870224, 68.919768]",4
000000001558,640,480,"[0, 83.77991999999998, 166.49024, 227.02992]",4
000000001558,640,480,"[176.59968, 128.20968, 94.41024, 69.39024]",4
000000001573,640,480,"[334.04, 39.55032, 35.00992, 35.00976]",4
000000001573,640,480,"[306.34015999999997, 48.35976, 51.77024, 48.540000000000006]",4
000000001573,640,480,"[364.74976000000004, 34.499759999999995, 37.00032, 44.12016]",4
000000001697,500,375,"[187.53, 0, 65.82000000000001, 37.600125]",4
000000001697,500,375,"[368.77000000000004, 0.9999375000000015, 113.13, 116.629875]",4
000000001697,500,375,"[82.85, 0.0, 72.91, 41.25]",4
000000001756,640,480,"[33.15968, 195.66984, 20.64, 34.33008]",4
000000001756,640,480,"[424.49024, 421.12991999999997, 47.50976, 58.87008]",4
000000001810,500,500,"[63.39999999999999, 313.38, 131.41, 153.46]",4
000000001810,500,500,"[129.22, 155.31, 77.86, 114.76]",4
000000001822,640,480,"[348.75008, 222.31008, 9.37984, 17.61984]",4
000000001864,640,413,"[599.63968, 351.8002145, 39.32032, 60.699849]",4
000000001864,640,413,"[601.97984, 239.62012200000004, 16.81984, 34.440070000000006]",4
000000001895,500,375,"[440.36, 227.089875, 22.74, 21.3]",4
000000001947,500,375,"[293.92, 154.0400625, 36.23, 48.949875000000006]",4
000000001947,500,375,"[169.28, 192.38006249999998, 45.629999999999995, 43.630125]",4
000000002083,640,428,"[185.80031999999997, 185.040022, 20.8, 23.340124]",4
000000002083,640,428,"[511.98016000000007, 234.73017999999996, 15.31008, 36.629951999999996]",4
000000002270,640,480,"[283.50016, 237.87, 14.46016, 18.92016]",4
000000002270,640,480,"[232.76, 224.90976, 14.43008, 23.59008]",4
000000002284,640,480,"[82.57984, 277.14023999999995, 22.65984, 35.799839999999996]",4
000000002347,640,480,"[386.14016, 285.13007999999996, 24.64, 24.38016]",4
000000002389,400,500,"[238.5002, 154.89, 26.19, 26.68]",4
000000002429,640,480,"[438.59008, 259.75991999999997, 11.34976, 17.41008]",4
000000002429,640,480,"[291.12992, 274.36008000000004, 16.67008, 20.50992]",4
000000002466,640,360,"[141.54016, 179.16984, 50.46976, 86.42016]",4
000000002466,640,360,"[58.25023999999999, 247.54986000000002, 76.84992, 106.79003999999999]",4
000000002559,425,640,"[176.63, 272.85984, 9.55995, 21.18976]",4
000000002559,425,640,"[150.60002500000002, 273.83008, 14.56985, 30.44032]",4
000000002585,640,478,"[247.43007999999998, 348.989712, 46.41984, 49.990196]",4
000000002585,640,478,"[174.69984, 397.190037, 51.44, 80.80996299999998]",4
000000002585,640,478,"[436.30016, 196.399923, 22.44992, 29.950046]",4
000000002691,640,480,"[496.43968, 364.06007999999997, 27.32032, 37.26]",4
000000002697,640,480,"[46.65023999999998, 103.17983999999998, 188.43008, 173.59008]",4
000000002752,500,375,"[188.93, 228.27993750000002, 12.48, 16.369875]",4
000000002843,640,428,"[55.529920000000004, 0, 172.35008, 310.320116]",4
000000002983,640,427,"[280.87008000000003, 202.47977049999997, 41.66976, 87.970113]",4
000000002989,640,423,"[587.93984, 38.0697885, 52.060159999999996, 110.900025]",4
000000003091,640,480,"[66.88, 1.0802399999999892, 139.13984, 143.46]",4
000000003192,640,480,"[0.0, 0.9302399999999977, 84.17023999999999, 153.88992]",4
000000003259,640,479,"[381.29024000000004, 196.3198265, 38.86976, 70.900143]",4
000000003286,482,640,"[92.24998000000001, 120.35999999999999, 210.449876, 249.37024000000002]",4
000000003286,482,640,"[47.940202000000006, 129.08991999999998, 71.259844, 214.51008000000002]",4
000000003353,640,426,"[385.58976, 0.9497670000000014, 37.40032, 51.180066]",4
000000003353,640,426,"[491.52991999999995, 13.109936999999995, 56.92992, 74.990058]",4
000000003353,640,426,"[227.86975999999999, 0.00021299999999513375, 41.08992, 39.839946000000005]",4
000000003442,640,427,"[538.51008, 382.5998995, 31.69024, 44.089885]",4
000000003442,640,427,"[521.9203200000001, 367.269959, 29.07968, 44.360175999999996]",4
000000003464,427,640,"[305.170068, 446.39968, 121.829932, 114.76032000000001]",4
000000003579,640,480,"[55.750080000000004, 328.64976, 29.029759999999996, 42.19008]",4
000000003579,640,480,"[83.73984, 341.98992, 29.64032, 43.56]",4
000000003579,640,480,"[89.66976, 326.06016, 31.320320000000002, 34.72992]",4
000000003595,491,640,"[96.67004399999999, 471.63007999999996, 59.780232, 125.24032]",4
000000003595,491,640,"[334.5298385, 353.88, 16.600219, 65.98976]",4
000000003595,491,640,"[64.1297555, 377.83008, 24.630033, 7.8201600000000004]",4
000000003671,640,480,"[288.18016, 0, 52.36032, 87.68016]",4
000000003671,640,480,"[90.98016000000001, 16.300079999999994, 138.0, 87.87024]",4
000000003685,640,427,"[408.85024, 284.5598455, 18.89984, 34.999909]",4
000000003703,640,427,"[9.599999999999994, 134.200122, 125.39008000000001, 116.319924]",4
000000003703,640,427,"[525.6102400000001, 2.819907999999998, 59.36, 68.940004]",4
000000003703,640,427,"[476.76032, 265.19987899999995, 90.92992000000001, 22.150198000000003]",4
000000003827,640,401,"[313.24, 289.450221, 57.79008, 58.019888]",4
000000003866,640,426,"[296.54016, 360.109941, 180.22016000000002, 65.889846]",4
000000003870,640,480,"[428.40000000000003, 175.43975999999998, 27.21024, 33.01008]",4
000000003870,640,480,"[577.85984, 263.26991999999996, 10.88, 30.72]",4
000000003877,640,480,"[447.58976, 453.86016, 22.350080000000002, 25.46976]",4
000000003911,640,480,"[0.0, 50.69976000000001, 33.44, 236.22]",4
000000004065,640,480,"[26.19968, 269.63976, 98.14016000000001, 140.29008]",4
000000004108,480,640,"[364.68, 497.48, 91.70976, 137.93984]",4
000000004108,480,640,"[273.68016, 300.49024, 55.03008, 104.38015999999999]",4
000000004108,480,640,"[245.98991999999998, 275.79999999999995, 48.480000000000004, 96.49984]",4
000000004108,480,640,"[305.22024, 271.19007999999997, 51.32976, 96.44992]",4
000000004108,480,640,"[413.28, 592.12, 66.72, 47.879999999999995]",4
000000004108,480,640,"[199.91016, 104.20000000000002, 29.50992, 38.970240000000004]",4
000000004108,480,640,"[277.28015999999997, 200.42016, 40.10976, 57.47008]",4
000000004157,612,612,"[504.519948, 348.889878, 66.439944, 94.359996]",4
000000004157,612,612,"[66.06999, 506.50038, 42.409763999999996, 88.399728]",4
000000004157,612,612,"[17.630190000000002, 501.799914, 36.809964, 92.88018000000001]",4
000000004157,612,612,"[47.950199999999995, 491.05013400000007, 47.43, 103.36006800000001]",4
000000004157,612,612,"[107.58990599999998, 450.82000800000003, 85.179996, 143.11007999999998]",4
000000004244,612,612,"[144.62998199999998, 337.8699, 11.030076000000001, 16.429752]",4
000000004256,640,479,"[408.87008, 170.6597965, 84.30016, 81.690097]",4
000000004256,640,479,"[281.99008000000003, 54.0798185, 83.34016, 89.219977]",4
000000004265,640,480,"[0.3504000000000005, 295.56000000000006, 44.38976, 76.68]",4
000000004296,640,480,"[558.97984, 323.74992000000003, 34.20032, 38.42016]",4
000000004296,640,480,"[401.21984, 246.62975999999998, 12.0, 20.18016]",4
000000004296,640,480,"[411.78015999999997, 245.86008, 12.030080000000002, 20.220000000000002]",4
000000004296,640,480,"[383.34976, 248.81016, 9.92, 14.269919999999999]",4
000000004385,640,480,"[15.08032, 302.13, 104.14975999999999, 120.44016]",4
000000004463,640,480,"[65.05023999999999, 155.41992000000002, 19.84, 23.82]",4
000000004578,640,480,"[302.63008, 310.83024, 21.40992, 19.29984]",4
000000004578,640,480,"[386.29984, 299.89007999999995, 20.67008, 16.77984]",4
000000004578,640,480,"[574.2902399999999, 384.30024, 36.19008, 31.740000000000002]",4
000000004578,640,480,"[328.54976, 297.69, 15.52, 22.64976]",4
000000004578,640,480,"[593.51968, 439.02024, 46.17024, 40.97976]",4
000000004587,640,480,"[204.06015999999997, 466.77984000000004, 38.78016, 13.220159999999964]",4
000000004587,640,480,"[164.28032000000002, 455.61, 39.77984, 24.389999999999986]",4
000000004587,640,480,"[195.72992, 412.87991999999997, 32.52992, 32.22]",4
000000004642,640,640,"[0.0, 37.780159999999995, 25.269759999999998, 167.98016]",4
000000004731,640,425,"[530.99008, 365.5099875, 35.98976, 42.870175]",4
000000004764,640,364,"[37.10976000000001, 42.260036, 16.96, 24.460071999999997]",4
000000004764,640,364,"[28.899519999999995, 46.719946, 9.00032, 18.329947999999998]",4
000000004764,640,364,"[66.53984, 36.509927999999995, 15.21984, 29.470168]",4
000000004764,640,364,"[102.81984000000001, 36.030176, 16.579839999999997, 23.66]",4
000000004764,640,364,"[124.33984, 43.139824, 17.930239999999998, 17.940104]",4
000000004764,640,364,"[86.70975999999999, 29.829981999999998, 14.879999999999999, 32.100068]",4
000000004796,612,612,"[0.0, 1.8797579999999954, 42.439752000000006, 104.120172]",4
000000004823,640,480,"[296.27008, 391.04016, 10.89024, 15.310080000000001]",4
000000004830,640,480,"[301.56992, 22.879680000000004, 34.76992, 42.50016]",4
000000004830,640,480,"[265.62976, 21.739919999999998, 37.05024, 45.32016]",4
000000004834,640,565,"[293.3904, 411.88980250000003, 42.579840000000004, 76.480095]",4
000000004970,640,426,"[345.22015999999996, 343.540032, 17.04, 19.250087999999998]",4
000000005018,640,480,"[89.1696, 57.73008, 32.84032, 46.150079999999996]",4
000000005094,640,425,"[165.19008000000002, 104.45989999999999, 19.02016, 25.0002]",4
000000005140,480,640,"[12.96, 273.20000000000005, 76.2, 212.25984]",4
000000005172,640,360,"[124.91007999999998, 202.98006, 23.310080000000003, 27.48996]",4
000000005345,640,346,"[321.6096, 83.23012700000001, 9.61024, 6.999925999999999]",4
000000005345,640,346,"[321.26976, 100.48012999999999, 11.61984, 7.499896000000001]",4
000000005352,640,480,"[413.11968, 25.889999999999986, 152.09024, 237.3]",4
000000005352,640,480,"[349.68992000000003, 0.0002400000000015723, 47.55008, 43.64976]",4
000000005383,640,480,"[541.2697599999999, 1.450320000000005, 98.73024, 143.84976]",4
000000005472,640,480,"[534.42016, 0.0, 105.57983999999999, 66.86016]",4
000000005483,640,568,"[489.85984, 314.46979200000004, 27.66976, 41.750272]",4
000000005483,640,568,"[550.65024, 305.419848, 26.080000000000002, 35.489776]",4
000000005483,640,568,"[568.76032, 302.40007599999996, 22.069760000000002, 33.899944]",4
000000005483,640,568,"[391.38976, 342.30974399999997, 30.54016, 39.760000000000005]",4
000000005522,500,375,"[288.49, 235.00012499999997, 10.31, 16.05]",4
000000005522,500,375,"[281.4599999999999, 231.86006249999997, 9.690000000000001, 16.750125]",4
000000005587,612,612,"[142.76032199999997, 245.87987400000003, 23.339844, 22.339836000000002]",4
000000005587,612,612,"[111.300156, 244.300302, 13.58028, 25.099956]",4
000000005619,640,361,"[272.45984, 0.00018050000000258137, 113.32032, 42.139891]",4
000000005673,640,428,"[86.84, 368.94991, 51.930240000000005, 30.39014]",4
000000005802,640,479,"[95.55968, 260.9699775, 11.47008, 7.1299150000000004]",4
000000005802,640,479,"[111.69024, 234.14022949999998, 8.94976, 6.5599050000000005]",4
000000005802,640,479,"[580.61024, 300.83020200000004, 13.58016, 11.51995]",4
000000005802,640,479,"[559.00032, 296.219827, 8.48, 7.1399740000000005]",4
000000005802,640,479,"[132.48032, 234.74999649999998, 8.81984, 5.140148999999999]",4
000000005802,640,479,"[34.19008000000001, 216.759954, 12.96, 7.8201540000000005]",4
000000005802,640,479,"[119.01983999999999, 234.62018750000001, 7.45024, 6.740009]",4
000000005802,640,479,"[49.86976, 217.7598665, 10.12032, 7.400071]",4
000000005832,640,478,"[80.67007999999998, 365.09018599999996, 29.13024, 44.649980000000006]",4
000000005832,640,478,"[139.77024, 320.219848, 32.84992, 36.199895999999995]",4
000000005860,375,500,"[125.93006249999999, 1.1400000000000148, 220.969875, 474.34]",4
000000005860,375,500,"[79.990125, 200.19000000000005, 45.87, 206.9]",4
000000005883,425,640,"[271.54015, 255.08991999999998, 49.889900000000004, 48.73984]",4
000000006031,419,640,"[375.95990099999995, 495.27008, 37.249938, 25.58016]",4
000000006220,640,425,"[601.6297599999999, 141.5898125, 38.36992, 60.29007500000001]",4
000000006247,640,457,"[354.38016000000005, 224.310224, 38.09024, 52.789898]",4
000000006295,500,491,"[261.53000000000003, 385.56977950000004, 39.629999999999995, 51.460237]",4
000000006358,480,640,"[207.06, 415.82976, 56.47008, 83.85024]",4
000000006484,480,640,"[46.88999999999999, 301.39008, 90.63984, 77.92]",4
000000006572,640,480,"[79.06016, 189.67007999999998, 38.010239999999996, 31.469759999999997]",4
000000006595,640,480,"[179.80992000000003, 1.519919999999999, 124.94976, 77.72016]",4
000000006608,640,480,"[295.95968000000005, 213.66000000000003, 16.92032, 21.629759999999997]",4
000000006720,640,426,"[309.39008, 50.699751, 20.54016, 25.850106]",4
